,id,hospcode,areacode,date_com,b_year,sex,groupcode298,result
71680,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,169,601
71681,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,169,576
75940,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,217,179
75941,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,239,156
75942,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,151,144
75943,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,32,134
75944,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,17,132
75945,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,281,127
75946,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,242,126
75947,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,104,124
75948,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,98,120
75949,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,32,113
75950,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,170,106
75951,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,17,103
75952,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,111,98
75953,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,170,97
75954,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,155,92
75955,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,175,91
75957,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,154,87
75958,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,124,85
76620,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,155,84
76621,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,151,84
76622,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,98,82
76850,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,217,80
76852,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,274,80
76853,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,2,198,76
76855,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,253,73
76856,87af734bc7575ecba528b7c9dba063bb,10757,12030103,202311141327,2566,1,197,72
